Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-10-01,2810.2817,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-02,2652.7083,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-03,2451.4583,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-04,2238.4375,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-05,2176.9792,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-06,2205.7292,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-07,2221.7708,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-08,2194.5833,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-09,2195.1042,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-10,2240.1042,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-11,2206.875,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-12,2129.2708,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-13,2067.6042,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-14,2052.9167,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-15,1740.7291,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-16,1547.1875,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-17,1498.8541,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-18,1475.0,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-19,1432.1875,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-20,1452.0834,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-21,1552.7084,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-22,1505.9375,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-23,1541.6666,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-24,1491.5625,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-25,1499.4791,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-26,1427.9348,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-27,1386.25,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-28,1382.9166,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-29,1454.6875,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-30,1454.4791,streamflow,13251000,ft3/s,"['A', '[91]']",0
1986-10-31,1464.0625,streamflow,13251000,ft3/s,"['A', '[91]']",0
