Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-10-01,1152.9412,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-02,1159.5834,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-03,1407.5,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-04,1655.4166,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-05,1747.5,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-06,1805.8334,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-07,1831.25,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-08,1840.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-09,1838.8,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-10,1830.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-11,1822.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-12,1811.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-13,1800.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-14,1788.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-15,1788.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-16,1798.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-17,1804.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-18,1826.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-19,1848.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-20,1871.6,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-21,1885.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-22,1881.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-23,1863.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-24,1836.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-25,1830.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-26,1830.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-27,1830.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-28,1831.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-29,1839.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-30,1844.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-10-31,1858.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-01,1860.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-02,1870.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-03,1866.8,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-04,1860.8,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-05,1834.8,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-06,1828.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-07,1830.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-08,1831.6,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-09,1847.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-10,1862.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-11,1869.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-12,1864.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-13,1870.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-14,1873.6,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-15,1886.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-16,1890.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-17,1903.6,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-18,1910.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-19,1914.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-20,1920.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-21,1920.0,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-22,1928.4,streamflow,10068500,ft3/s,"['A', '[91]']",0
1986-11-23,1915.2,streamflow,10068500,ft3/s,"['A', '[91]']",0
