Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1992-10-29,35.617645,streamflow,9217900,ft3/s,['A'],0
1992-10-30,35.0,streamflow,9217900,ft3/s,['A'],0
1992-10-31,35.0,streamflow,9217900,ft3/s,['A'],0
1992-11-01,33.375,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-02,31.458334,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-03,31.0,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-04,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-05,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-06,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-07,38.0,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-08,37.520832,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-09,38.0,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-10,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-11,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-12,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-13,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-14,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-15,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-16,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-17,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-18,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-19,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-20,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-21,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-22,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-23,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-24,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-25,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-26,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-27,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-28,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-29,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-11-30,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-01,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-02,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-03,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-04,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-05,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-06,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-07,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-08,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-09,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-10,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-11,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-12,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-13,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-14,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-15,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-16,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-17,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-18,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-19,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-20,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-21,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-22,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-23,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-24,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-25,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-26,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-27,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-28,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-29,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-30,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1992-12-31,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-01,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-02,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-03,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-04,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-05,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-06,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-07,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-08,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-09,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-10,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-11,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-12,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-13,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-14,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-15,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-16,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-17,,streamflow,9217900,ft3/s,"['A', '[92]']",0
1993-01-18,,streamflow,9217900,ft3/s,"['A', '[92]']",0
