Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-10-01,2139.7144,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-02,2295.4167,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-03,2061.4792,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-04,2219.375,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-05,1778.75,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-06,1777.5,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-07,1780.625,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-08,1821.875,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-09,1781.6666,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-10,2446.0833,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-11,1968.2084,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-12,3093.75,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-13,3092.5,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-14,3091.0417,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-15,3093.3333,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-16,3101.25,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-17,1580.25,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-18,3141.0417,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-19,2846.6667,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-20,3238.75,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-21,2706.25,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-22,2864.7917,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-23,2898.75,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-24,2774.375,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-25,3000.0,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-26,2418.0435,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-27,3106.875,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-28,3173.261,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-29,2672.5,streamflow,9234500,ft3/s,"['A', '[91]']",0
1986-10-30,2926.4583,streamflow,9234500,ft3/s,"['A', '[91]']",0
