Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1989-10-01,123.85714,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-02,134.9375,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-03,131.4375,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-04,135.1875,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-05,130.875,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-06,129.75,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-07,126.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-08,123.75,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-09,122.25,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-10,119.875,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-11,117.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-12,117.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-13,115.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-14,115.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-15,115.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-16,114.625,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-17,112.208336,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-18,111.3125,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-19,117.229164,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-20,114.416664,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-21,113.75,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-22,114.625,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-23,115.0,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-24,115.5625,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-25,127.0625,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-26,140.6875,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-27,126.8125,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-28,121.9375,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-29,108.847824,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-30,110.541664,streamflow,6191000,ft3/s,"['A', '[91]']",0
1989-10-31,115.083336,streamflow,6191000,ft3/s,"['A', '[91]']",0
